name	att_length	genome_length	score
BDP_251260	15	121967	100
BDP_18315	121	121946	100
BDP_135674	21	121813	75.01
BDP_157742	12	121806	88
BDP_260807	20	121757	100
BDP_294066	49	121317	100
BDP_115365	17	121295	80.00990099009901
BDP_289419	15	121246	100
BDP_245465	29	121201	90
BDP_315066	49	121024	84.03960396039604
BDP_100076	194	120968	85
BDP_161189	121	120894	100
BDP_300925	18	120782	84.00990099009901
BDP_147891	47	120744	95
BDP_50861	33	120648	100
BDP_179529	23	120640	95
BDP_291174	10	120563	100
BDP_144703	15	120544	87
BDP_5226	13	120501	83.0392156862745
BDP_346673	12	120481	29.25
BDP_406140	14	120448	100
BDP_418746	44	120437	90.00990099009901
BDP_143702	11	120417	100
BDP_123695	121	120380	65
BDP_47236	17	119901	84.01
BDP_65537	46	119857	100
BDP_144406	54	119788	96
BDP_396730	20	119747	73.04123711340206
BDP_51848	19	119641	94
BDP_191144	45	119549	100
BDP_267936	49	119477	79.00990099009901
BDP_195902	79	119246	100
BDP_252845	215	119155	84
BDP_616	80	119147	100
BDP_262942	135	119121	42.86138613861385
BDP_142265	24	118983	84.00990099009901
BDP_374710	52	118960	98
BDP_383498	25	118885	93.0873786407767
BDP_31849	229	118868	99
BDP_425150	29	118809	100
BDP_366626	49	118790	99
BDP_89480	12	118741	87
BDP_35081	54	118416	100
BDP_318612	17	118327	100
BDP_171658	50	118214	98
BDP_95438	15	118168	86
BDP_26939	20	118106	69.0392156862745
BDP_183678	20	118084	98
BDP_416393	15	117985	100
BDP_388214	9	117913	100
BDP_329156	78	117868	97
BDP_87288	17	117325	87.01
BDP_156985	78	117041	99
BDP_327696	26	117002	94.01
BDP_171015	65	116959	100
BDP_153839	7	116883	100
BDP_173685	216	116853	100
BDP_115612	22	116812	100
BDP_258560	15	116696	100
BDP_337494	239	116631	99
BDP_248649	13	116538	94
BDP_412870	17	116536	100
BDP_403797	54	116249	100
BDP_397222	17	116174	76.0392156862745
BDP_19949	13	115899	100
BDP_159373	42	115852	93
BDP_52967	21	115705	20.809999999999995
BDP_137007	17	115541	100
BDP_369896	43	115469	95.03999999999999
BDP_66638	43	115342	85.08910891089108
BDP_346893	12	115301	89
BDP_243241	13	115104	87
BDP_325727	49	115039	100
BDP_230391	16	114938	84
BDP_150754	14	114836	44.93103448275862
BDP_144238	15	114826	97
BDP_23363	121	114791	100
BDP_337259	14	114787	100
BDP_346200	7	114731	100
BDP_264510	30	114660	100
BDP_133735	79	114504	99
BDP_118506	124	114494	100
BDP_223511	834	114397	100
BDP_297101	5	114326	100
BDP_40173	26	114254	100
BDP_19031	47	114213	51.34375
BDP_378244	17	114104	99
BDP_334980	13	113910	81
BDP_248698	19	113849	88.01
BDP_224196	5	113735	100
BDP_73760	17	113648	100
BDP_383028	1653	113619	96
BDP_32652	14	113596	100
BDP_254987	31	113545	72.0873786407767
BDP_123906	23	113526	37
BDP_293763	5	113440	100
BDP_426476	207	113409	96
BDP_26899	27	113386	97
BDP_211921	80	113386	100
BDP_208023	121	113381	100
BDP_284946	12	113346	84
BDP_56675	26	113325	87.03999999999999
BDP_107450	27	113211	99
BDP_94584	17	113185	76.16
BDP_93507	107	113096	100
BDP_135348	56	113068	86.01
BDP_112785	110	113026	85
BDP_30936	8	112970	100
BDP_270149	5	112970	100
BDP_232468	27	112912	95
BDP_308680	43	112688	94
BDP_80319	5	112684	100
BDP_377984	21	112636	99
BDP_171148	48	112387	81.00990099009901
BDP_427663	123	112329	100
BDP_81380	6	112262	100
BDP_282062	17	112124	37.69
BDP_377542	17	111893	87
BDP_222706	65	111831	92.00990099009901
BDP_257657	23	111574	100
BDP_106586	43	111531	99
BDP_144076	214	111456	78
BDP_363012	7	111415	100
BDP_300310	16	111382	100
BDP_191594	47	111331	81
BDP_117635	14	111321	99
BDP_87523	25	111189	100
BDP_87775	1414	111085	100
BDP_81976	11	110890	100
BDP_63277	13	110825	93
BDP_362510	12	110793	86.03999999999999
BDP_409642	20	110744	100
BDP_173577	12	110593	55.49000000000001
BDP_199992	49	110534	72
BDP_198607	31	110513	95
BDP_400754	52	110485	100
BDP_194964	43	110440	100
BDP_408169	121	110410	69
BDP_107945	8	110163	100
BDP_206377	60	110156	36.76744186046511
BDP_280843	27	110017	100
BDP_136245	21	109986	100
BDP_375358	38	109907	97
BDP_205093	49	109897	93
BDP_222519	91	109851	100
BDP_306740	26	109845	100
BDP_70926	60	109817	100
BDP_135547	1079	109639	48
BDP_84203	12	109633	38.210526315789465
BDP_135260	23	109614	70
BDP_382057	98	109551	97
BDP_302259	40	109548	93
BDP_190833	19	109500	100
BDP_345082	26	109471	96
BDP_148961	45	109236	100
BDP_37028	59	109205	90.00990099009901
BDP_168779	14	109074	100
BDP_283872	15	108991	75.15686274509804
BDP_250577	686	108987	96
BDP_52095	28	108951	99
BDP_110087	47	108526	100
BDP_64752	12	108519	78
BDP_400342	53	108485	93
BDP_187017	24	108455	70.00980392156863
BDP_79489	18	108449	100
BDP_307881	53	108345	100
BDP_102878	13	108275	100
BDP_292363	12	108079	51.21000000000001
BDP_101466	84	108036	100
BDP_277763	7	107990	100
BDP_208061	23	107961	100
BDP_914	17	107933	91
BDP_71991	62	107734	100
BDP_17821	34	107513	96
BDP_268117	28	107437	100
BDP_198401	63	107345	99
BDP_299151	124	107323	98
BDP_113776	37	107142	99
BDP_400896	16	107106	100
BDP_219092	18	107094	60.0392156862745
BDP_348605	24	107062	100
BDP_371560	20	107041	71
BDP_218575	44	106824	42.24
BDP_313921	32	106775	43.9672131147541
BDP_332221	48	106753	95
BDP_238922	50	106681	90
BDP_83528	25	106676	62.16
BDP_146300	121	106668	100
BDP_318759	15	106566	100
BDP_404619	65	106492	97
BDP_196011	17	106408	100
BDP_211754	14	106394	98
BDP_262300	10	106357	100
BDP_191142	16	106356	84
BDP_128473	152	106323	100
BDP_33320	32	106285	100
BDP_24570	18	106150	100
BDP_363231	55	106099	98
BDP_164730	43	106038	100
BDP_238777	12	105871	45.16494845360825
BDP_390201	96	105765	99
BDP_69765	5	105738	99
BDP_367837	121	105736	100
BDP_36714	121	105693	100
BDP_99411	12	105691	94
BDP_321448	50	105589	100
BDP_46472	121	105559	100
BDP_147662	13	105534	100
BDP_383270	46	105516	83.09
BDP_342663	56	105478	37.69
BDP_346178	12	105476	100
BDP_166886	6	105439	56.57142857142857
BDP_284041	16	105321	100
BDP_413266	13	105319	80
BDP_391267	121	105209	100
BDP_171260	86	105120	95
BDP_268069	45	105057	100
BDP_35272	121	105036	100
BDP_124710	46	105000	100
BDP_401742	6	104780	98
BDP_357632	14	104754	68.0392156862745
BDP_96359	49	104649	99
BDP_87903	121	104642	66.03999999999999
BDP_188308	44	104601	100
BDP_66035	25	104560	100
BDP_417961	19	104310	100
BDP_262524	7	104304	100
BDP_102439	109	104255	72
BDP_10447	5	104240	100
BDP_421335	22	104235	100
BDP_352576	124	104181	100
BDP_56032	17	104110	77.00990099009901
BDP_85005	16	104106	100
BDP_380265	23	104070	100
BDP_95772	34	104052	98
BDP_264877	17	103973	100
BDP_170213	90	103922	99
BDP_54980	13	103907	21.01
BDP_254035	103	103898	100
BDP_356433	35	103887	98
BDP_298661	51	103855	22.240000000000002
BDP_395398	216	103789	100
BDP_78293	6	103786	99
BDP_292111	160	103763	89
BDP_93563	19	103754	100
BDP_61172	51	103688	97
BDP_257033	52	103666	100
BDP_129342	9	103574	100
BDP_322335	7	103527	100
BDP_61873	12	103463	100
BDP_110193	28	103278	100
BDP_356389	35	103204	99
BDP_230188	88	103169	100
BDP_24948	8	102981	100
BDP_251344	579	102980	100
BDP_332376	24	102899	100
BDP_250491	16	102887	100
BDP_394319	45	102881	100
BDP_301609	24	102788	100
BDP_294917	55	102720	79.25
BDP_349456	25	102689	100
BDP_317233	18	102593	100
BDP_19142	25	102499	60.56
BDP_38903	325	102378	69
BDP_235993	47	102363	100
BDP_101484	11	102289	100
BDP_89404	111	102235	79
BDP_124810	16	102133	100
BDP_341734	21	102118	23.473684210526315
BDP_265579	14	101952	93
BDP_117478	234	101924	70
BDP_257799	112	101877	97
BDP_106093	12	101867	59.15384615384616
BDP_74941	51	101833	98
BDP_98051	144	101814	71
BDP_23688	15	101755	94
BDP_59043	41	101727	77.00990099009901
BDP_54883	53	101669	100
BDP_399931	103	101570	100
BDP_101489	43	101416	99
BDP_20100	11	101371	100
BDP_347963	121	101301	99
BDP_140081	27	101280	99
BDP_398159	190	101215	94
BDP_102246	46	101162	100
BDP_115641	9	101152	100
BDP_400449	51	101135	100
BDP_127562	41	101120	99
BDP_175188	16	101088	100
BDP_144514	43	100901	100
BDP_86848	430	100851	99
BDP_427573	50	100739	100
BDP_121016	5	100652	98
BDP_268432	46	100620	63.0392156862745
BDP_329402	121	100595	100
BDP_213036	14	100569	100
BDP_89126	43	100549	99
BDP_29138	216	100457	100
BDP_342736	43	100456	92
BDP_112800	13	100448	82.03999999999999
BDP_207151	54	100320	100
BDP_284599	105	100277	93
BDP_415848	121	100140	68
BDP_281444	7	100122	100
BDP_421916	57	100024	98
BDP_16567	43	99980	100
BDP_244862	95	99972	94
BDP_394812	110	99919	100
BDP_341029	21	99859	39.31578947368421
BDP_361759	73	99757	27.250000000000004
BDP_361241	28	99749	100
BDP_9340	48	99738	97
BDP_301802	50	99634	90.09
BDP_115548	86	99613	73
BDP_288675	14	99549	95
BDP_120748	55	99493	99
BDP_343497	55	99467	45.24038461538461
BDP_303599	7	99436	100
BDP_355745	12	99410	30.29
BDP_90403	86	99354	46.959999999999994
BDP_282628	62	99328	100
BDP_327826	68	99303	95
BDP_131342	18	99231	62.0392156862745
BDP_57947	29	99204	100
BDP_174268	97	99136	97
BDP_354463	13	99013	77.15384615384616
BDP_158869	77	98900	95
BDP_193290	37	98870	98
BDP_28978	22	98818	100
BDP_71658	47	98713	100
BDP_36488	73	98687	97.00990099009901
BDP_319639	47	98673	100
BDP_316035	70	98672	98
BDP_277889	16	98643	100
BDP_100268	12	98617	55.16
BDP_52395	32	98610	100
BDP_237352	43	98584	100
BDP_302561	18	98582	100
BDP_277709	56	98535	91
BDP_199642	13	98471	100
BDP_208083	15	98438	82.00990099009901
BDP_175650	1720	98344	99
BDP_69449	17	98332	76.00990099009901
BDP_191891	59	98319	99
BDP_348253	32	98253	99
BDP_301496	38	98232	50.29
BDP_328173	74	98121	99
BDP_405744	50	98042	100
BDP_280442	48	98002	97
BDP_338602	102	97932	98
BDP_108404	24	97913	100
BDP_377333	166	97876	100
BDP_212054	17	97872	100
BDP_228054	47	97837	97
BDP_307145	47	97821	100
BDP_361099	29	97775	98
BDP_49399	59	97753	100
BDP_90229	19	97664	100
BDP_210550	53	97613	100
BDP_420255	233	97595	100
BDP_401841	217	97593	100
BDP_150281	42	97583	100
BDP_212459	65	97542	87.01
BDP_112771	76	97492	95
BDP_345270	24	97478	100
BDP_239603	65	97475	97
BDP_294453	27	97422	94.00990099009901
BDP_239303	78	97408	100
BDP_188091	25	97396	100
BDP_423492	18	97308	100
BDP_175556	17	97282	100
BDP_260017	98	97273	90
BDP_243760	66	97269	99
BDP_420286	121	97267	100
BDP_249993	31	97265	100
BDP_304022	215	97212	99
BDP_88404	13	97182	100
BDP_249267	81	97066	79.01
BDP_404360	18	97050	99
BDP_102863	68	97014	100
BDP_73178	25	96985	87
BDP_228462	85	96969	99
BDP_168685	49	96869	99
BDP_237527	7	96821	100
BDP_253028	28	96763	64.01
BDP_402355	53	96740	97
BDP_329889	49	96739	99
BDP_280067	216	96697	100
BDP_295851	12	96576	83
BDP_387155	47	96534	92
BDP_101387	35	96523	100
BDP_178356	33	96458	99
BDP_420752	50	96458	93.01
BDP_331420	108	96457	100
BDP_46806	26	96454	99
BDP_420450	10	96444	100
BDP_229763	1745	96443	67
BDP_293723	18	96442	100
BDP_146878	126	96387	100
BDP_422333	24	96380	100
BDP_313511	216	96366	98
BDP_80820	14	96329	97
BDP_265399	28	96308	99
BDP_18180	43	96267	95
BDP_355726	24	96260	100
BDP_89861	6	96232	100
BDP_217408	52	96209	99
BDP_251735	44	96135	100
BDP_8109	46	95953	98
BDP_221634	17	95941	100
BDP_98913	136	95926	84
BDP_221112	14	95877	72.09
BDP_59389	103	95840	100
BDP_116322	29	95839	69.00990099009901
BDP_223793	24	95590	93
BDP_391139	48	95588	97
BDP_111099	43	95584	100
BDP_183447	32	95554	97
BDP_91860	14	95548	94
BDP_141078	43	95542	100
BDP_420095	100	95539	93.0392156862745
BDP_99145	49	95461	73
BDP_357069	24	95433	99
BDP_399001	49	95386	100
BDP_321246	96	95332	54.972477064220186
BDP_196969	54	95308	88.00990099009901
BDP_208582	43	95273	99
BDP_42758	29	95224	100
BDP_369473	9	95223	98
BDP_211300	43	95212	100
BDP_105542	26	95162	100
BDP_92600	29	95156	100
BDP_155950	18	95145	97
BDP_411407	57	95134	98
BDP_333241	12	95059	100
BDP_220165	27	95056	99
BDP_247141	91	95054	100
BDP_90230	18	95012	100
BDP_255274	50	94986	93
BDP_14723	16	94929	29.840000000000003
BDP_401658	65	94850	99
BDP_261372	46	94818	100
BDP_215900	166	94638	100
BDP_346731	26	94636	59.00961538461539
BDP_129548	11	94600	100
BDP_278844	50	94581	93
BDP_395926	32	94547	100
BDP_139906	37	94512	95
BDP_34284	65	94510	94
BDP_339660	25	94457	96.01
BDP_190613	17	94417	86
BDP_372283	54	94403	100
BDP_215021	15	94390	60.01010101010101
BDP_399129	16	94384	95.00990099009901
BDP_361790	28	94370	94
BDP_142426	27	94352	100
BDP_197111	44	94316	96
BDP_128926	69	94269	91.01
BDP_235392	51	94247	88.01
BDP_417886	54	94221	67.15384615384616
BDP_164930	21	94138	100
BDP_253249	48	94021	100
BDP_8116	35	93981	95
BDP_8603	135	93959	80.9090909090909
BDP_83292	51	93823	100
BDP_59870	52	93818	100
BDP_236200	25	93770	100
BDP_303989	24	93751	96
BDP_30408	12	93713	100
BDP_43687	28	93664	100
BDP_348565	28	93653	100
BDP_200920	69	93641	100
BDP_92353	36	93632	100
BDP_376168	93	93625	95
BDP_339058	32	93621	99
BDP_54362	15	93575	100
BDP_330428	127	93561	98
BDP_92586	14	93462	99
BDP_119177	55	93456	97
BDP_389719	9	93455	100
BDP_355352	44	93402	98
BDP_232308	46	93380	100
BDP_92905	25	93361	100
BDP_61942	33	93334	96
BDP_132329	22	93326	99
BDP_122018	34	93325	100
BDP_69024	18	93287	100
BDP_368143	18	93242	63.010000000000005
BDP_52196	29	93165	95.00990099009901
BDP_359474	111	93142	97.01
BDP_87449	9	93080	99
BDP_7000	27	93055	96
BDP_49930	38	93055	100
BDP_140109	22	92962	97
BDP_248163	53	92882	92
BDP_130643	95	92815	76
BDP_16388	57	92806	98
BDP_221589	33	92794	100
BDP_140329	21	92726	99
BDP_416954	43	92726	100
BDP_215271	30	92707	100
BDP_326439	54	92700	100
BDP_46473	12	92682	99
BDP_264089	23	92669	100
BDP_269369	9	92628	100
BDP_296060	15	92627	68.03999999999999
BDP_137316	44	92612	96
BDP_100877	47	92602	76.04040404040404
BDP_144332	13	92577	100
BDP_25033	75	92568	92
BDP_411113	37	92542	100
BDP_407316	7	92473	100
BDP_37446	44	92433	100
BDP_114440	17	92422	100
BDP_31366	14	92390	100
BDP_422208	11	92386	100
BDP_260145	43	92376	99
BDP_393001	85	92323	68.01
BDP_358685	14	92231	86.01
BDP_385228	45	92166	46.231884057971016
BDP_301566	35	92165	97
BDP_400007	15	92162	99
BDP_327142	127	92129	95
BDP_383219	23	92110	98
BDP_317118	36	92103	100
BDP_20086	24	92091	100
BDP_172320	18	92087	23.96
BDP_146005	55	92078	94
BDP_238283	26	92073	100
BDP_288933	8	91981	98
BDP_324802	111	91974	74.03999999999999
BDP_387423	13	91970	100
BDP_273834	40	91900	100
BDP_16308	22	91852	100
BDP_283993	86	91844	95
BDP_309318	20	91841	100
BDP_114122	28	91828	100
BDP_409696	70	91828	98
BDP_323780	203	91791	100
BDP_209798	68	91790	97
BDP_280025	91	91785	98
BDP_43295	69	91778	98
BDP_106017	12	91774	68.00990099009901
BDP_213712	40	91769	96
BDP_410757	8	91765	99
BDP_234780	43	91752	100
BDP_383467	15	91743	98
BDP_429682	50	91689	29.628205128205124
BDP_181334	29	91661	100
BDP_162701	70	91658	99
BDP_309917	103	91648	100
BDP_392895	19	91630	100
BDP_42626	67	91622	99
BDP_65971	15	91604	82
BDP_327054	21	91596	100
BDP_253975	12	91585	99
BDP_220223	112	91577	97
BDP_195320	29	91547	100
BDP_205521	8	91547	100
BDP_206256	54	91547	53.47572815533981
BDP_157562	47	91542	57
BDP_272451	45	91542	100
BDP_246214	21	91522	97
BDP_62979	14	91498	70.00990099009901
BDP_65975	20	91423	78
BDP_154630	14	91403	99
BDP_359351	28	91389	100
BDP_18104	216	91370	100
BDP_124200	27	91336	99
BDP_380210	16	91284	86
BDP_175411	11	91265	100
BDP_228486	43	91255	100
BDP_110081	33	91218	36.49000000000001
BDP_96127	105	91180	100
BDP_328094	23	91149	100
BDP_249264	70	91142	95
BDP_75178	29	91139	97
BDP_242772	168	91126	96
BDP_166350	127	91105	97
BDP_67896	17	91089	100
BDP_20230	65	91083	100
BDP_240998	21	91076	100
BDP_186767	46	91065	90
BDP_196107	18	91061	98
BDP_59895	96	91046	100
BDP_170134	16	91036	100
BDP_249405	29	91030	48.46153846153847
BDP_119758	43	91022	100
BDP_35004	46	91008	100
BDP_419646	103	90999	100
BDP_157477	35	90982	99
BDP_167270	74	90975	100
BDP_218615	19	90974	100
BDP_305847	265	90955	100
BDP_256844	45	90945	99
BDP_52237	28	90927	100
BDP_412311	29	90924	100
BDP_214536	35	90850	100
BDP_59038	115	90847	82
BDP_111141	70	90811	98
BDP_367704	294	90806	81.00990099009901
BDP_346417	28	90794	100
BDP_331823	12	90761	100
BDP_273407	29	90735	84.09
BDP_136901	24	90733	100
BDP_9506	48	90719	96
BDP_232693	21	90709	99
BDP_148308	78	90656	98
BDP_420914	31	90650	100
BDP_124087	70	90634	99
BDP_153584	42	90629	100
BDP_230010	100	90533	95
BDP_291638	46	90490	99
BDP_92714	76	90407	95
BDP_305757	54	90381	99
BDP_268835	58	90376	42.366336633663366
BDP_211023	46	90356	21.041666666666664
BDP_391716	98	90340	85
BDP_256013	30	90336	100
BDP_117212	57	90330	100
BDP_12205	166	90310	97
BDP_408421	27	90306	100
BDP_86850	41	90239	94
BDP_317953	29	90236	70
BDP_77225	22	90176	97
BDP_2947	700	90173	62
BDP_364927	112	90169	98
BDP_396963	134	90166	97
BDP_38699	51	90159	96
BDP_282979	12	90158	100
BDP_54976	111	90128	97
BDP_8327	57	90123	98
BDP_410454	55	90108	99
BDP_127534	16	90100	100
BDP_98112	42	90073	99
BDP_43370	19	90037	99
BDP_190346	67	90035	97
BDP_240028	50	90034	99
BDP_386801	89	90022	98
BDP_164660	22	90008	100
BDP_19458	30	90005	100
BDP_280664	66	90000	100
BDP_59498	76	89949	100
BDP_91479	49	89947	97
BDP_129068	23	89929	100
BDP_380672	19	89911	100
BDP_81169	92	89806	97
BDP_374760	32	89786	100
BDP_18481	32	89777	100
BDP_92026	101	89777	30.65137614678899
BDP_58696	29	89768	100
BDP_116545	67	89759	97
BDP_302483	7	89729	100
BDP_122077	66	89720	100
BDP_2004	40	89692	100
BDP_59224	47	89692	98
BDP_216860	33	89670	99
BDP_5967	8	89666	100
BDP_422793	28	89666	100
BDP_133566	12	89656	100
BDP_196474	40	89645	100
BDP_221212	11	89629	100
BDP_84436	168	89626	90
BDP_44518	86	89622	100
BDP_269357	18	89581	97
BDP_89939	44	89557	100
BDP_350954	17	89541	48.039603960396036
BDP_406480	63	89523	100
BDP_232276	21	89511	100
BDP_331115	42	89491	92
BDP_258503	74	89482	100
BDP_295002	174	89468	92.00990099009901
BDP_114138	69	89426	99
BDP_249883	18	89420	99
BDP_175470	18	89419	99
BDP_355420	115	89405	100
BDP_197321	21	89340	100
BDP_102840	15	89311	100
BDP_120359	95	89291	64.0392156862745
BDP_26412	98	89286	99
BDP_375371	74	89285	100
BDP_249212	15	89269	100
BDP_204674	12	89263	98
BDP_62284	63	89258	96
BDP_351078	110	89217	68
BDP_415120	47	89204	86
BDP_118580	92	89191	100
BDP_144555	100	89190	96.0392156862745
BDP_408320	70	89190	100
BDP_44341	19	89187	68.34615384615384
BDP_283998	8	89183	100
BDP_299281	100	89182	93.0392156862745
BDP_116759	18	89178	100
BDP_24056	35	89168	100
BDP_130159	91	89143	100
BDP_43384	77	89142	100
BDP_315429	17	89133	76.0392156862745
BDP_349038	98	89120	100
BDP_374277	46	89116	100
BDP_86660	46	89107	95
BDP_342343	387	89096	90
BDP_323094	92	89094	100
BDP_312464	47	89085	100
BDP_97946	48	89072	99
BDP_75036	42	89041	92
BDP_50719	19	89033	100
BDP_368659	25	89030	94
BDP_116614	69	89013	99
BDP_76943	15	89004	94
BDP_330227	23	88998	99
BDP_361909	63	88986	100
BDP_4298	132	88984	98
BDP_336647	50	88984	100
BDP_104736	69	88966	100
BDP_344780	15	88935	85.00990099009901
BDP_330558	42	88882	100
BDP_239869	32	88869	99
BDP_300157	25	88837	100
BDP_247226	32	88808	99
BDP_392674	16	88794	100
BDP_427746	40	88754	100
BDP_211037	126	88751	100
BDP_72647	7	88705	100
BDP_177053	29	88704	100
BDP_91022	75	88701	100
BDP_11372	67	88698	96
BDP_242275	29	88698	100
BDP_101428	48	88671	99
