cluster	type	genome_size	name
family_1	BDP	31496	BDP_55051
family_1	BDP	34899	BDP_357531
family_1	BDP	32081	BDP_158567
family_1	BDP	33065	BDP_365314
family_1	BDP	33297	BDP_251704
family_1	BDP	34247	BDP_308420
family_1	BDP	33629	BDP_12986
family_1	BDP	33717	BDP_426178
family_1	BDP	32932	BDP_140519
family_1	BDP	45082	BDP_124369
family_1	BDP	35665	BDP_126540
family_1	BDP	33131	BDP_40520
family_1	BDP	35138	BDP_6138
family_1	BUP	25985	BUP_126777
family_1	BUP	22512	BUP_250137
family_1	BDP	33231	BDP_380892
family_1	BDP	31428	BDP_11220
family_1	BDP	32006	BDP_21309
family_1	BDP	49697	BDP_271326
family_1	BDP	34401	BDP_131463
family_1	BDP	38322	BDP_108251
family_1	BDP	31761	BDP_346525
family_1	BDP	40373	BDP_219859
family_1	BUP	31582	BUP_7760
family_1	BDP	39029	BDP_159015
family_1	BDP	31268	BDP_245118
family_1	BDP	32133	BDP_137592
family_1	BDP	33536	BDP_139839
family_1	BDP	32958	BDP_352322
family_1	BUP	22208	BUP_326824
family_1	BDP	33131	BDP_321854
family_1	BUP	31138	BUP_112123
family_1	BDP	33901	BDP_32965
family_1	BDP	33984	BDP_402289
family_1	BDP	23756	BDP_10925
family_1	BDP	32656	BDP_382104
family_1	BDP	32602	BDP_280894
family_1	BDP	35024	BDP_108036
family_1	BDP	34443	BDP_295870
family_1	BDP	33328	BDP_187354
family_1	BDP	33595	BDP_394128
family_1	BDP	33293	BDP_164944
family_1	BDP	35922	BDP_420990
family_1	BDP	34320	BDP_366808
family_1	BDP	31733	BDP_245633
family_1	BDP	33353	BDP_174568
family_1	BDP	36412	BDP_11951
family_1	BDP	41743	BDP_374326
family_1	BDP	32716	BDP_89321
family_1	BDP	35079	BDP_186635
family_1	BDP	34027	BDP_344922
family_1	BDP	34226	BDP_251520
family_1	BDP	34820	BDP_200975
family_1	BDP	41206	BDP_254452
family_1	BDP	33989	BDP_322031
family_1	BDP	33327	BDP_394984
family_1	BDP	33472	BDP_130953
family_1	BDP	38275	BDP_402912
family_1	BDP	26854	BDP_164932
family_1	BDP	29639	BDP_324441
family_1	BDP	35327	BDP_385528
family_1	BUP	35978	BUP_334073
family_1	BDP	32603	BDP_118149
family_1	BDP	33711	BDP_105879
family_1	BDP	41634	BDP_329944
family_1	BDP	35697	BDP_215770
family_1	BDP	34216	BDP_152070
family_1	BDP	35024	BDP_133147
family_1	BDP	32103	BDP_181089
family_1	BDP	34709	BDP_179733
family_1	BDP	35468	BDP_107726
family_1	BDP	32329	BDP_78221
family_1	BDP	34796	BDP_413366
family_1	BDP	35673	BDP_105938
family_1	BDP	36061	BDP_35069
family_1	BDP	34473	BDP_17760
family_1	BDP	33690	BDP_419640
family_1	BDP	34528	BDP_406303
family_1	BUP	39638	BUP_211097
family_1	BDP	33076	BDP_82126
family_1	BDP	32345	BDP_136563
family_1	BDP	34089	BDP_20760
family_1	BDP	35504	BDP_356441
family_1	BDP	35791	BDP_325947
family_1	BDP	36927	BDP_150686
family_1	BDP	32304	BDP_52545
family_1	BDP	32743	BDP_367285
family_1	BDP	33731	BDP_83485
family_1	BDP	34983	BDP_582
family_1	BDP	36139	BDP_311070
family_1	BDP	35236	BDP_256145
family_1	BDP	36047	BDP_415033
family_1	BUP	8369	BUP_87426
family_1	BDP	34344	BDP_25763
family_1	BDP	26195	BDP_23180
family_1	BDP	32802	BDP_33703
family_1	BDP	36811	BDP_232619
family_1	BDP	34018	BDP_39833
family_1	BDP	35344	BDP_203132
family_1	BDP	34845	BDP_218717
family_1	BDP	33066	BDP_218393
family_1	BDP	34143	BDP_132164
family_1	BDP	34354	BDP_297412
family_1	BDP	35871	BDP_29450
family_1	BDP	34611	BDP_233393
family_1	BDP	37750	BDP_389092
family_1	BUP	28518	BUP_123721
family_1	BDP	34030	BDP_137168
family_1	BDP	33412	BDP_254414
family_1	BDP	34216	BDP_363364
family_1	BDP	34969	BDP_414852
family_1	BUP	26940	BUP_126892
family_1	BUP	14881	BUP_129134
family_1	BDP	35294	BDP_124249
family_1	BDP	36035	BDP_49007
family_1	BDP	33402	BDP_191167
family_1	BDP	35478	BDP_378892
family_1	BDP	32281	BDP_113613
family_1	BDP	35134	BDP_148906
family_1	BDP	36144	BDP_415881
family_1	BUP	7955	BUP_135654
family_1	BDP	34588	BDP_47006
family_1	BDP	34956	BDP_228772
family_1	BDP	36792	BDP_280777
family_1	BUP	34171	BUP_98528
family_1	BDP	34923	BDP_295665
family_1	BDP	33031	BDP_23344
family_1	BDP	33120	BDP_80356
family_1	BDP	34219	BDP_374935
family_1	BDP	34416	BDP_54070
family_1	BDP	34029	BDP_275263
family_1	BDP	33835	BDP_380235
family_1	BUP	29537	BUP_243562
family_1	BDP	46316	BDP_205737
family_1	BDP	33247	BDP_108828
family_1	BDP	32227	BDP_108279
family_1	BDP	36447	BDP_337835
family_1	BDP	36556	BDP_47828
family_1	BDP	33033	BDP_111481
family_1	BDP	35899	BDP_218866
family_1	BUP	10302	BUP_148743
family_1	BDP	34945	BDP_173274
family_1	BDP	31489	BDP_181516
family_1	BDP	33909	BDP_45193
family_1	BDP	37459	BDP_299183
family_1	BDP	35236	BDP_71926
family_1	BDP	35609	BDP_159455
family_1	BDP	37007	BDP_32333
family_1	BDP	33031	BDP_291080
family_1	BDP	38127	BDP_409249
family_1	BDP	36086	BDP_259105
family_1	BUP	50059	BUP_358788
family_1	BUP	34236	BUP_63255
family_1	BDP	35408	BDP_64271
family_1	BDP	36425	BDP_188900
family_1	BUP	19238	BUP_234637
family_1	BDP	32311	BDP_30944
family_1	BDP	30297	BDP_225510
family_1	BDP	35421	BDP_376599
family_1	BDP	33511	BDP_317049
family_1	BDP	35277	BDP_65706
family_1	BDP	35297	BDP_60765
family_1	BDP	35787	BDP_309991
family_1	BUP	32551	BUP_76664
family_1	BDP	34161	BDP_311314
family_1	BUP	38478	BUP_167030
family_1	BUP	13467	BUP_43932
family_1	BDP	17395	BDP_113460
family_1	BDP	44273	BDP_304112
family_1	BDP	34448	BDP_205473
family_1	BDP	36535	BDP_43550
family_1	BDP	38841	BDP_334730
family_1	BUP	20919	BUP_297496
family_1	BUP	34206	BUP_283851
family_1	BUP	39720	BUP_56419
family_1	BDP	35829	BDP_50417
family_1	BDP	35787	BDP_173786
family_1	BDP	36487	BDP_327296
family_1	BDP	36563	BDP_85125
family_1	BDP	36124	BDP_97777
family_1	BDP	31430	BDP_173202
family_1	BDP	33601	BDP_237973
family_1	BDP	34841	BDP_15508
family_1	BDP	35548	BDP_249972
family_1	BDP	36005	BDP_370885
family_1	BDP	36361	BDP_391853
family_1	BDP	36450	BDP_113588
family_1	BDP	37028	BDP_208543
family_1	BUP	11068	BUP_159989
family_1	BUP	29991	BUP_42972
family_1	BUP	55380	BUP_192915
family_1	BDP	36660	BDP_103669
family_1	BUP	34945	BUP_123221
family_1	BDP	35108	BDP_187509
family_1	BDP	35517	BDP_101422
family_1	BDP	33611	BDP_239089
family_1	BDP	33898	BDP_269138
family_1	BDP	35633	BDP_422431
family_1	BDP	34606	BDP_141900
family_1	BDP	33475	BDP_219361
family_1	BDP	35527	BDP_359256
family_1	BUP	34238	BUP_75485
family_1	BDP	34943	BDP_60969
family_1	BDP	35276	BDP_316098
family_1	BDP	35950	BDP_70670
family_1	BUP	16203	BUP_119553
family_1	BDP	34413	BDP_250527
family_1	BDP	32885	BDP_121186
family_1	BDP	35930	BDP_10759
family_1	BDP	36216	BDP_123937
family_1	BDP	36302	BDP_269202
family_1	BDP	35050	BDP_76702
family_1	BUP	21119	BUP_279462
family_1	BDP	35690	BDP_185955
family_1	BUP	31538	BUP_331632
family_1	BUP	25930	BUP_218520
family_1	BDP	37676	BDP_78306
family_1	BUP	31725	BUP_219440
family_1	BDP	16617	BDP_201175
family_1	BDP	33491	BDP_125459
family_1	BDP	39413	BDP_145161
family_1	BUP	11188	BUP_281763
family_1	BDP	34969	BDP_59169
family_1	BDP	36327	BDP_321252
family_1	BDP	34250	BDP_278710
family_1	BDP	35143	BDP_30817
family_1	BDP	32056	BDP_266845
family_1	BDP	34869	BDP_110182
family_1	BDP	35647	BDP_130929
family_1	BDP	35571	BDP_58538
family_1	BDP	35980	BDP_2156
family_1	BDP	34159	BDP_241025
family_1	BDP	34763	BDP_85331
family_1	BDP	35136	BDP_363663
family_1	BDP	33144	BDP_106404
family_1	BDP	35923	BDP_177277
family_1	BDP	36125	BDP_189945
family_1	BDP	36389	BDP_34025
family_1	BDP	37155	BDP_278959
family_1	BUP	36036	BUP_225280
family_1	BDP	34213	BDP_241537
family_1	BDP	34294	BDP_373685
family_1	BDP	34775	BDP_62020
family_1	BUP	24831	BUP_291765
family_1	BUP	34081	BUP_5567
family_1	BUP	39941	BUP_26702
family_1	BDP	34807	BDP_370404
family_1	BDP	35818	BDP_385740
family_1	BUP	39014	BUP_106897
family_1	BUP	31163	BUP_271250
family_1	BDP	35376	BDP_217991
family_1	BDP	34771	BDP_90947
family_1	BDP	36902	BDP_419048
family_1	BDP	36272	BDP_351655
family_1	BUP	11018	BUP_294714
family_1	BUP	32170	BUP_254832
family_1	BDP	33975	BDP_175956
family_1	BDP	34414	BDP_110332
family_1	BDP	36497	BDP_104751
family_1	BDP	37386	BDP_356718
family_1	BDP	34782	BDP_309872
family_1	BDP	37067	BDP_93221
family_1	BDP	36377	BDP_261789
family_1	BUP	35481	BUP_121558
family_1	BDP	32292	BDP_308306
family_1	BDP	33634	BDP_19742
family_1	BDP	34428	BDP_21931
family_1	BDP	35527	BDP_138199
family_1	BDP	35985	BDP_146417
family_1	BDP	37126	BDP_56823
family_1	BUP	24329	BUP_362732
family_1	BUP	32923	BUP_174562
family_1	BUP	18314	BUP_113131
family_1	BUP	56989	BUP_195922
family_1	BDP	23418	BDP_217420
family_1	BDP	34742	BDP_29135
family_1	BDP	35656	BDP_326348
family_1	BDP	36096	BDP_303940
family_1	BDP	36919	BDP_28956
family_1	BDP	34971	BDP_104555
family_1	BDP	36983	BDP_73409
family_1	BUP	29127	BUP_50163
family_1	BDP	30721	BDP_89893
family_1	BDP	34065	BDP_81183
family_1	BDP	34230	BDP_203357
family_1	BDP	34305	BDP_16234
family_1	BDP	35563	BDP_227793
family_1	BUP	56096	BUP_338558
family_1	BUP	29391	BUP_211016
family_1	BDP	35924	BDP_366175
family_1	BDP	35555	BDP_159665
family_1	BDP	36081	BDP_425290
family_1	BUP	32273	BUP_357143
family_1	BDP	34438	BDP_44370
family_1	BDP	34933	BDP_63864
family_1	BDP	35399	BDP_49798
family_1	BDP	34630	BDP_133676
family_1	BDP	34244	BDP_17243
family_1	BDP	34070	BDP_292969
family_1	BDP	37620	BDP_353954
family_1	BDP	45078	BDP_356980
family_1	BDP	36146	BDP_268579
family_1	BDP	22190	BDP_283007
family_1	BDP	29869	BDP_135198
family_1	BDP	31617	BDP_325303
family_1	BDP	35609	BDP_372835
family_1	BDP	36305	BDP_65080
family_1	BDP	25413	BDP_93010
family_1	BDP	34509	BDP_276981
family_1	BDP	36163	BDP_14640
family_1	BDP	36090	BDP_189213
family_1	BDP	34061	BDP_92874
family_1	BDP	33059	BDP_58669
family_1	BUP	34817	BUP_140722
family_1	BUP	11207	BUP_344616
family_1	BDP	37823	BDP_76163
family_1	BDP	27731	BDP_246927
family_1	BDP	33629	BDP_209414
family_1	BDP	34805	BDP_108850
family_1	BDP	36867	BDP_391056
family_1	BDP	37748	BDP_116424
family_1	BDP	36747	BDP_188394
family_1	BDP	38135	BDP_223030
family_1	BDP	35171	BDP_1639
family_1	BDP	33775	BDP_286354
family_1	BDP	35085	BDP_46449
family_1	BDP	34807	BDP_125467
family_1	BDP	36768	BDP_136008
family_1	BDP	36642	BDP_99995
family_1	BDP	34542	BDP_256874
family_1	BDP	36872	BDP_6897
family_1	BDP	32054	BDP_41293
family_1	BDP	33420	BDP_284843
family_1	BDP	34233	BDP_242966
family_1	BDP	34765	BDP_255350
family_1	BUP	41449	BUP_212565
family_1	BDP	33506	BDP_27250
family_1	BDP	33680	BDP_422716
family_1	BDP	34085	BDP_370881
family_1	BDP	35140	BDP_405208
family_1	BDP	35766	BDP_242167
family_1	BDP	34207	BDP_23032
family_1	BDP	34927	BDP_144934
family_1	BDP	33097	BDP_421403
family_1	BDP	35561	BDP_274480
family_1	BDP	35843	BDP_240045
family_1	BUP	34797	BUP_338478
family_1	BDP	31430	BDP_25016
family_1	BDP	35439	BDP_21743
family_1	BUP	35260	BUP_54379
family_1	BUP	7371	BUP_32082
family_1	BDP	33876	BDP_328947
family_1	BDP	34897	BDP_379115
family_1	BDP	24213	BDP_80565
family_1	BDP	25238	BDP_122043
family_1	BDP	35619	BDP_114371
family_1	BDP	33560	BDP_417451
family_1	BDP	33801	BDP_415941
family_1	BDP	34314	BDP_385374
family_1	BDP	34343	BDP_134782
family_1	BDP	34523	BDP_6734
family_1	BDP	35335	BDP_19083
family_1	BDP	35919	BDP_240890
family_1	BDP	36079	BDP_10753
family_1	BDP	36758	BDP_150352
family_1	BUP	35636	BUP_114502
family_1	BUP	26675	BUP_221391
family_1	BDP	32584	BDP_99783
family_1	BDP	33574	BDP_20855
family_1	BDP	33796	BDP_329591
family_1	BDP	34511	BDP_64685
family_1	BDP	35046	BDP_265831
family_1	BDP	35860	BDP_248360
family_1	BDP	35948	BDP_69614
family_1	BDP	36773	BDP_348668
family_1	BDP	34082	BDP_168926
family_1	BDP	34458	BDP_104433
family_1	BDP	35020	BDP_7828
family_1	BDP	36058	BDP_356858
family_1	BDP	37043	BDP_188421
family_1	BDP	37246	BDP_161498
family_1	BDP	31568	BDP_186339
family_1	BDP	33827	BDP_35757
family_1	BDP	33811	BDP_303552
family_1	BDP	34084	BDP_133240
family_1	BUP	20671	BUP_312877
family_1	BDP	34454	BDP_106013
family_1	BDP	34066	BDP_24842
family_1	BDP	32196	BDP_354820
family_1	BDP	34870	BDP_380744
family_1	BDP	36419	BDP_267039
family_1	BDP	27351	BDP_227422
family_1	BDP	33541	BDP_229294
family_1	BDP	35457	BDP_203588
family_1	BDP	35814	BDP_41277
family_1	BUP	12136	BUP_181769
family_1	BUP	40143	BUP_155621
family_1	BDP	44227	BDP_300776
family_1	BUP	14193	BUP_327417
family_1	BDP	35391	BDP_39368
family_1	BDP	32544	BDP_158061
family_1	BDP	34563	BDP_23755
family_1	BDP	35365	BDP_73410
family_1	BDP	35412	BDP_297933
family_1	BDP	36311	BDP_351490
family_1	BUP	7882	BUP_67227
family_1	BDP	33803	BDP_359099
family_1	BDP	35383	BDP_301
family_1	BDP	35689	BDP_37967
family_1	BDP	33582	BDP_370880
family_1	BDP	33845	BDP_356469
family_1	BDP	33885	BDP_104287
family_1	BDP	34461	BDP_66308
family_1	BDP	32245	BDP_233906
family_1	BDP	35241	BDP_387666
family_1	BDP	34461	BDP_165391
family_1	BDP	35685	BDP_13766
family_1	BDP	36650	BDP_417515
family_1	BDP	32983	BDP_42344
family_1	BUP	25126	BUP_233051
family_1	BDP	35331	BDP_366269
family_1	BDP	33255	BDP_383598
family_1	BDP	35213	BDP_96200
family_1	BUP	36080	BUP_46373
family_1	BDP	36471	BDP_179762
family_1	BUP	33350	BUP_185998
family_1	BDP	37699	BDP_281941
family_1	BDP	31914	BDP_398360
family_1	BUP	23194	BUP_8351
family_1	BDP	34006	BDP_3077
family_1	BDP	33695	BDP_50274
family_1	BDP	27003	BDP_406298
family_1	BDP	31532	BDP_198259
family_1	BDP	29323	BDP_20811
family_1	BUP	60253	BUP_66375
family_1	BDP	29680	BDP_99575
family_1	BDP	36167	BDP_158491
family_1	BDP	36369	BDP_161941
family_1	BDP	34512	BDP_117340
family_1	BDP	33866	BDP_146623
family_1	BDP	32944	BDP_289304
family_1	BDP	34061	BDP_97534
family_1	BDP	38176	BDP_372947
family_1	BDP	35463	BDP_17962
family_1	BDP	30030	BDP_708
family_1	BDP	35011	BDP_58995
family_1	BUP	29753	BUP_144722
family_1	BDP	33687	BDP_14833
family_1	BDP	35661	BDP_410769
family_1	BDP	9143	BDP_176862
family_1	BDP	32295	BDP_408384
family_1	BDP	34077	BDP_8700
family_1	BDP	35130	BDP_178443
family_1	BDP	35488	BDP_175971
family_1	BDP	33542	BDP_123741
family_1	BDP	33410	BDP_8433
family_1	BDP	37296	BDP_340841
family_1	BDP	32242	BDP_13178
family_1	BUP	15066	BUP_160195
family_1	BDP	32811	BDP_102087
family_1	BUP	37232	BUP_128908
family_1	BDP	34617	BDP_12806
family_1	BDP	35950	BDP_365084
family_1	BDP	33099	BDP_318139
family_1	BDP	32385	BDP_355070
family_1	BDP	35027	BDP_373668
family_1	BDP	35251	BDP_25612
family_1	BDP	32798	BDP_85352
family_1	BUP	9937	BUP_185309
family_1	BUP	34215	BUP_171236
family_1	BDP	32775	BDP_23956
family_1	BDP	35000	BDP_418050
family_1	BDP	36372	BDP_342908
family_1	BDP	36211	BDP_190423
family_1	BDP	9420	BDP_228242
family_1	BDP	35627	BDP_420899
family_1	BDP	33191	BDP_28828
family_1	BDP	36255	BDP_3558
family_1	BDP	30623	BDP_211684
family_1	BDP	35212	BDP_397447
family_1	BDP	33754	BDP_108611
family_1	BDP	33358	BDP_287249
family_1	BDP	34409	BDP_251251
family_1	BUP	26335	BUP_333565
family_1	BDP	33804	BDP_40133
family_1	BDP	35571	BDP_328436
family_1	BDP	35493	BDP_17288
family_1	BDP	34375	BDP_136096
family_1	BDP	35435	BDP_115386
family_1	BDP	30963	BDP_94811
family_1	BDP	33035	BDP_421261
family_1	BDP	35213	BDP_35809
family_1	BDP	32096	BDP_1836
family_1	BDP	33098	BDP_207056
family_1	BDP	33597	BDP_404894
family_1	BDP	31812	BDP_6788
family_1	BUP	35656	BUP_303549
family_1	BDP	34897	BDP_120209
family_1	BDP	34954	BDP_368709
family_1	BDP	35170	BDP_296300
family_1	BUP	21936	BUP_268704
family_1	BDP	32994	BDP_12684
family_1	BDP	37021	BDP_44888
family_1	BUP	24935	BUP_63613
family_1	BDP	36183	BDP_175482
family_1	BDP	33650	BDP_117012
family_1	BDP	36016	BDP_238598
family_1	BUP	22081	BUP_127019
family_1	BDP	34793	BDP_348311
family_1	BDP	34012	BDP_23613
family_1	BDP	34279	BDP_206161
family_1	BUP	10560	BUP_37894
family_1	BDP	35626	BDP_13554
family_1	BDP	34176	BDP_340653
family_1	BUP	12318	BUP_66402
family_1	BDP	36611	BDP_403822
family_1	BUP	37767	BUP_259029
family_1	BUP	11250	BUP_351123
family_1	BDP	35370	BDP_24136
family_1	BDP	21090	BDP_355052
family_1	BDP	36426	BDP_343839
family_1	BDP	36437	BDP_16991
family_1	BDP	31636	BDP_191582
family_1	BDP	34844	BDP_53323
family_1	BDP	35431	BDP_22423
family_1	BDP	36456	BDP_416637
family_1	BDP	39729	BDP_74412
family_1	BUP	26084	BUP_321867
family_1	BDP	21470	BDP_421626
family_1	BDP	30775	BDP_27793
family_1	BDP	35899	BDP_260132
family_1	BDP	35949	BDP_51883
family_1	BDP	37210	BDP_180569
family_1	BDP	39123	BDP_304339
family_1	BUP	26503	BUP_205428
family_1	BDP	26754	BDP_2253
family_1	BDP	34828	BDP_267163
family_1	BDP	34917	BDP_64396
family_1	BDP	35343	BDP_45633
family_1	BDP	35379	BDP_128971
family_1	BDP	36454	BDP_180104
family_1	BDP	38959	BDP_338909
family_1	BUP	35704	BUP_16019
family_1	BUP	32411	BUP_218177
family_1	BUP	39634	BUP_285376
family_1	BDP	35876	BDP_105536
family_1	BDP	36147	BDP_30432
family_1	BDP	36785	BDP_157844
family_1	BUP	35754	BUP_266670
family_1	BUP	35312	BUP_226
family_1	BUP	8610	BUP_184805
family_1	BDP	34827	BDP_190905
family_1	BDP	36302	BDP_545
family_1	BDP	37237	BDP_212462
family_1	BDP	52659	BDP_230323
family_1	BUP	34117	BUP_5976
family_1	BDP	35224	BDP_20013
family_1	BDP	35412	BDP_109047
family_1	BDP	35865	BDP_404046
family_1	BUP	38444	BUP_191107
family_1	BDP	23211	BDP_16931
family_1	BDP	31918	BDP_248720
family_1	BDP	35964	BDP_395695
family_1	BDP	36460	BDP_211129
family_1	BDP	37091	BDP_93108
family_1	BDP	37288	BDP_4947
family_1	BUP	29876	BUP_22464
family_1	BDP	33951	BDP_135084
family_1	BDP	34050	BDP_149116
family_1	BDP	34820	BDP_29143
family_1	BDP	35259	BDP_289268
family_1	BDP	35671	BDP_364584
family_1	BDP	35704	BDP_98300
family_1	BDP	36473	BDP_185785
family_1	BUP	38051	BUP_342505
family_1	BUP	10481	BUP_244571
family_1	BDP	28160	BDP_279996
family_1	BDP	33982	BDP_309767
family_1	BDP	36195	BDP_142852
family_1	BDP	36314	BDP_25113
family_1	BUP	35571	BUP_248362
family_1	BDP	20145	BDP_132021
family_1	BDP	32724	BDP_162260
family_1	BDP	33933	BDP_402090
family_1	BDP	34142	BDP_202626
family_1	BDP	36775	BDP_418765
family_1	BDP	36811	BDP_424953
family_1	BDP	37085	BDP_341488
family_1	BDP	37368	BDP_367825
family_1	BDP	38298	BDP_137301
family_1	BDP	44487	BDP_121837
family_1	BUP	11799	BUP_316730
family_1	BUP	40713	BUP_222439
family_1	BUP	15229	BUP_67566
family_1	BDP	35050	BDP_350665
family_1	BDP	35070	BDP_213385
family_1	BDP	36500	BDP_35281
family_1	BDP	37152	BDP_20634
family_1	BUP	35186	BUP_247212
family_1	BUP	41751	BUP_125751
family_1	BUP	31948	BUP_271117
family_1	BDP	33924	BDP_109397
family_1	BDP	36033	BDP_70949
family_1	BDP	36241	BDP_23159
family_1	BUP	15265	BUP_149662
family_1	BDP	35503	BDP_34870
family_1	BDP	35706	BDP_390368
family_1	BDP	36077	BDP_295232
family_1	BDP	36234	BDP_179245
family_1	BDP	36339	BDP_234034
family_1	BDP	35502	BDP_344706
family_1	BDP	35551	BDP_411679
family_1	BDP	35597	BDP_367937
family_1	BDP	35670	BDP_48389
family_1	BDP	36747	BDP_157274
family_1	BDP	37396	BDP_354163
family_1	BDP	35629	BDP_7203
family_1	BDP	35824	BDP_199077
family_1	BDP	35833	BDP_387889
family_1	BUP	36006	BUP_363474
family_1	BUP	34781	BUP_21295
family_1	BDP	34020	BDP_11635
family_1	BDP	34696	BDP_279469
family_1	BDP	34802	BDP_178368
family_1	BDP	35354	BDP_293751
family_1	BDP	36320	BDP_129980
family_1	BUP	12181	BUP_49337
family_1	BUP	37305	BUP_133370
family_1	BDP	33985	BDP_244459
family_1	BDP	35466	BDP_49514
family_1	BDP	37057	BDP_396462
family_1	BUP	12710	BUP_237515
family_1	BUP	36251	BUP_13970
family_1	BUP	32353	BUP_165160
family_1	BDP	30117	BDP_309541
family_1	BDP	34236	BDP_269409
family_1	BDP	34841	BDP_135497
family_1	BDP	34850	BDP_255652
family_1	BDP	35465	BDP_6983
family_1	BDP	36120	BDP_58093
family_1	BDP	36305	BDP_168107
family_1	BDP	36398	BDP_44469
family_1	BUP	32886	BUP_243647
family_1	BDP	34844	BDP_4627
family_1	BDP	35511	BDP_306371
family_1	BDP	35809	BDP_62088
family_1	BDP	36299	BDP_112564
family_1	BDP	36526	BDP_307223
family_1	BDP	36876	BDP_310005
family_1	BDP	36962	BDP_156356
family_1	BDP	34830	BDP_185491
family_1	BDP	35054	BDP_334099
family_1	BDP	35257	BDP_314924
family_1	BDP	35811	BDP_289567
family_1	BDP	36047	BDP_229210
family_1	BDP	36181	BDP_418546
family_1	BDP	36810	BDP_40657
family_1	BDP	37280	BDP_150568
family_1	BUP	29083	BUP_359973
family_1	BUP	40094	BUP_11042
family_1	BDP	35306	BDP_7879
family_1	BDP	36042	BDP_284796
family_1	BDP	36264	BDP_84429
family_1	BUP	19198	BUP_166201
family_1	BDP	35344	BDP_83994
family_1	BDP	35542	BDP_413751
family_1	BDP	36755	BDP_219693
family_1	BDP	38041	BDP_8087
